name,slug,symbol,date,ranknow,open,high,low,close,volume,market,close_ratio,spread
NuBits,nubits,USNBT,2018-11-29,925,1.17,9.77,1.04,1.18,123367000.0,14732088.0,1.0,8.81
NuShares,nushares,NSR,2018-11-29,1422,0.027697,0.029799,0.018854,0.027718,714351.0,76988704.0,1.0,0.03
Nucleus Vision,nucleus-vision,NCASH,2018-11-29,211,0.048955,0.051292,0.046738,0.048957,198436992.0,201630874.0,1.0,0.01
Nuggets,nuggets,NUG,2018-11-29,1924,0.001896,0.001983,0.001843,0.001864,178710.0,0.0,1.0,0.0
Nullex,nullex,NLX,2018-11-29,943,0.177761,0.235444,0.147501,0.182133,830720.0,7372205.0,1.0,0.15
Nuls,nuls,NULS,2018-11-29,142,8.21,8.54,7.04,8.23,459808992.0,329178400.0,1.0,2.83
Numeraire,numeraire,NMR,2018-11-29,474,103.21,168.49,72.49,101.83,34331400.0,124584038.0,1.0,96.0
Numus,numus,NMS,2018-11-29,1139,36.22,43.27,27.1,39.22,1035540.0,2220725.0,1.0,18.72
Nxt,nxt,NXT,2018-11-29,115,1.91,2.16,1.63,1.82,603580992.0,1815292784.0,1.0,0.94
Nyancoin,nyancoin,NYAN,2018-11-29,1474,0.014744,0.034259,0.013178,0.014802,48976.0,3349077.0,1.0,0.03
Nyerium,nyerium,NYEX,2018-11-29,1168,0.007201,0.007471,0.004085,0.007195,7466.0,109239.0,1.0,0.0
OAX,oax,OAX,2018-11-29,526,2.78,2.92,2.09,2.82,25107100.0,70630122.0,1.0,1.52
OBITS,obits,OBITS,2018-11-29,1260,3.99,3.99,2.68,3.99,1420100.0,65652951.0,1.0,1.96
OBXcoin,obxcoin,OBX,2018-11-29,2068,0.008952,0.011659,0.008104,0.008904,33587.0,0.0,1.0,0.01
ODEM,odem,ODE,2018-11-29,78,0.529622,0.547641,0.501557,0.528137,29791300.0,94545539.0,1.0,0.18
OFCOIN,ofcoin,OF,2018-11-29,1801,0.007628,0.00788,0.006225,0.007577,68923296.0,0.0,1.0,0.0
OKCash,okcash,OK,2018-11-29,731,0.768255,0.86959,0.65099,0.767355,38196700.0,55669974.0,1.0,0.33
ONG,ong,ONG,2018-11-29,1788,2.65,4.59,1.98,2.72,62075600.0,0.0,1.0,3.94
OP Coin,op-coin,OPC,2018-11-29,1396,0.0862,0.134228,0.081043,0.085761,1494280.0,5369128.0,1.0,0.11
OPCoinX,opcoinx,OPCX,2018-11-29,1467,0.004949,0.01191,0.004111,0.004953,3401.0,399126.0,1.0,0.01
ORS Group,ors-group,ORS,2018-11-29,1904,0.05403,0.083752,0.050576,0.054026,680074.0,0.0,1.0,0.04
OST,ost,OST,2018-11-29,223,1.3,1.47,0.996981,1.28,94065300.0,257590895.0,1.0,0.57
OTCBTC Token,otcbtc-token,OTB,2018-11-29,1884,0.243423,0.245577,0.23964,0.243366,329796.0,0.0,1.0,0.04
OWNDATA,owndata,OWN,2018-11-29,570,0.000741,0.000755,0.000654,0.000739,552331.0,3906342.0,1.0,0.0
Obitan Chain,obitan-chain,OBTC,2018-11-29,1986,4.9e-05,6.5e-05,2.4e-05,4.9e-05,44877.0,0.0,1.0,0.0
Obsidian,obsidian,ODN,2018-11-29,1557,2.06,2.74,1.74,2.11,2058040.0,52814250.0,1.0,1.52
OceanChain,oceanchain,OC,2018-11-29,1852,0.018729,0.019803,0.017963,0.018688,23914800.0,0.0,1.0,0.01
Oceanlab,oceanlab,OCL,2018-11-29,1358,0.122166,0.152565,0.114109,0.122339,310742.0,5688764.0,1.0,0.06
